,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
fixed acidity,1.0006257822277849,-0.25629117693231607,0.6721237748359232,0.11484854972927372,0.09376382536155654,-0.15389043453745643,-0.113252269981054,0.6684653442417013,-0.6834055901846569,0.18312018562422616,-0.0617068615359284
volatile acidity,-0.25629117693231607,1.0006257822277846,-0.5528414265399052,0.0019190821392380147,0.06133613153308012,-0.010510400114856268,0.07651785839090369,0.022040015819868645,0.23508431399087729,-0.26115000611262834,-0.20241461540554226
citric acid,0.6721237748359232,-0.5528414265399052,1.0006257822277849,0.14366700960634063,0.2039504625861312,-0.06101628822183699,0.035555259866037046,0.36517555266757823,-0.5422432587224504,0.31296576978924445,0.10997202214009101
residual sugar,0.11484854972927372,0.0019190821392380147,0.14366700960634063,1.0006257822277844,0.05564433466235789,0.18716604704114817,0.2031549329372121,0.35550570100276496,-0.08570602198246295,0.005530580113443153,0.042101767270563174
chlorides,0.09376382536155654,0.06133613153308012,0.2039504625861312,0.05564433466235789,1.000625782227785,0.005565627697525002,0.047430130629700425,0.2007578787858436,-0.2651919798160143,0.3714928094964931,-0.22127893061105391
free sulfur dioxide,-0.15389043453745643,-0.010510400114856268,-0.06101628822183699,0.18716604704114817,0.005565627697525002,1.0006257822277844,0.6680842642798207,-0.021959564474605286,0.0704215394927422,0.0516898982332183,-0.06945178807912067
total sulfur dioxide,-0.113252269981054,0.07651785839090369,0.035555259866037046,0.2031549329372121,0.047430130629700425,0.6680842642798207,1.000625782227785,0.07131407537469457,-0.0665361701261305,0.042973711606396583,-0.20578263832673965
density,0.6684653442417013,0.022040015819868645,0.36517555266757823,0.35550570100276496,0.2007578787858436,-0.021959564474605286,0.07131407537469457,1.0006257822277849,-0.3419131641559852,0.14859934439395214,-0.4964902707237053
pH,-0.6834055901846569,0.23508431399087729,-0.5422432587224504,-0.08570602198246295,-0.2651919798160143,0.0704215394927422,-0.0665361701261305,-0.3419131641559852,1.0006257822277846,-0.19677066087902878,0.2057611896747757
sulphates,0.18312018562422616,-0.26115000611262834,0.31296576978924445,0.005530580113443153,0.3714928094964931,0.0516898982332183,0.042973711606396583,0.14859934439395214,-0.19677066087902878,1.0006257822277849,0.09365332034188824
alcohol,-0.0617068615359284,-0.20241461540554226,0.10997202214009101,0.042101767270563174,-0.22127893061105391,-0.06945178807912067,-0.20578263832673965,-0.4964902707237053,0.2057611896747757,0.09365332034188824,1.0006257822277855
